"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","3.773,04","3.741,60","3.784,27","3.734,20","","0,86%"
"30.12.2024","3.741,01","3.777,29","3.785,21","3.735,16","","-0,89%"
"27.12.2024","3.774,63","3.793,49","3.801,47","3.761,00","","-0,48%"
"26.12.2024","3.792,71","3.754,88","3.804,71","3.752,27","","1,04%"
"25.12.2024","3.753,60","3.752,66","3.757,63","3.752,00","","0,03%"
"24.12.2024","3.752,56","3.754,75","3.772,03","3.750,18","","-0,01%"
"23.12.2024","3.752,90","3.764,45","3.787,07","3.748,94","","-0,34%"
"20.12.2024","3.765,55","3.735,24","3.781,89","3.732,33","","0,84%"
"19.12.2024","3.734,18","3.735,63","3.784,21","3.716,91","","-0,01%"
"18.12.2024","3.734,58","3.786,51","3.796,73","3.732,11","","-1,36%"
"17.12.2024","3.786,08","3.778,86","3.791,17","3.758,97","","0,23%"
"16.12.2024","3.777,21","3.769,67","3.797,36","3.759,50","","0,22%"
"13.12.2024","3.768,78","3.812,60","3.834,06","3.767,19","","-1,11%"
"12.12.2024","3.811,27","3.846,44","3.856,53","3.797,02","","-0,89%"
"11.12.2024","3.845,38","3.817,55","3.852,26","3.788,68","","0,74%"
"10.12.2024","3.817,04","3.769,88","3.821,47","3.765,74","","1,29%"
"09.12.2024","3.768,37","3.727,72","3.776,86","3.718,48","","1,11%"
"06.12.2024","3.726,88","3.691,52","3.736,78","3.666,64","","1,03%"
"05.12.2024","3.689,02","3.729,43","3.736,29","3.685,64","","-1,07%"
"04.12.2024","3.728,80","3.719,23","3.738,26","3.703,26","","0,31%"
"03.12.2024","3.717,27","3.707,70","3.727,02","3.699,18","","0,34%"
"02.12.2024","3.704,49","3.717,21","3.728,06","3.678,42","","-0,30%"
"29.11.2024","3.715,49","3.701,36","3.734,80","3.689,46","","0,43%"
"28.11.2024","3.699,72","3.698,50","3.711,00","3.673,32","","-0,02%"
"27.11.2024","3.700,28","3.700,59","3.734,51","3.690,93","","0,00%"
"26.11.2024","3.700,28","3.668,23","3.725,80","3.660,34","","0,89%"
"25.11.2024","3.667,77","3.792,51","3.792,51","3.658,30","","-3,27%"
"22.11.2024","3.791,93","3.727,59","3.794,20","3.725,97","","1,78%"
"21.11.2024","3.725,44","3.702,77","3.734,22","3.700,49","","0,60%"
"20.11.2024","3.703,18","3.673,81","3.716,80","3.656,56","","0,84%"
"19.11.2024","3.672,29","3.659,62","3.701,26","3.658,57","","0,36%"
"18.11.2024","3.659,29","3.609,52","3.675,50","3.606,84","","1,42%"
"15.11.2024","3.608,23","3.606,51","3.630,05","3.593,39","","0,12%"
"14.11.2024","3.604,06","3.601,15","3.617,09","3.553,57","","0,10%"
"13.11.2024","3.600,47","3.623,43","3.654,60","3.600,83","","-0,61%"
"12.11.2024","3.622,65","3.645,73","3.659,21","3.615,08","","-0,61%"
"11.11.2024","3.644,84","3.732,89","3.737,45","3.636,20","","-2,35%"
"08.11.2024","3.732,59","3.750,70","3.761,30","3.722,66","","-0,47%"
"07.11.2024","3.750,05","3.706,65","3.755,45","3.685,06","","1,20%"
"06.11.2024","3.705,54","3.793,94","3.821,90","3.701,04","","-2,30%"
"05.11.2024","3.792,70","3.804,46","3.813,60","3.787,71","","-0,26%"
"04.11.2024","3.802,44","3.815,51","3.820,47","3.797,48","","-0,37%"
"01.11.2024","3.816,71","3.822,28","3.844,19","3.813,56","","-0,16%"
"31.10.2024","3.822,98","3.875,48","3.882,08","3.799,93","","-1,34%"
"30.10.2024","3.875,07","3.861,64","3.885,88","3.856,95","","0,38%"
"29.10.2024","3.860,38","3.809,15","3.862,97","3.806,42","","1,36%"
"28.10.2024","3.808,42","3.817,32","3.818,70","3.786,16","","-0,22%"
"25.10.2024","3.816,82","3.791,00","3.818,40","3.761,96","","0,73%"
"24.10.2024","3.788,99","3.758,02","3.793,81","3.756,83","","0,89%"
"23.10.2024","3.755,49","3.798,44","3.814,25","3.751,21","","-1,10%"
"22.10.2024","3.797,44","3.762,49","3.799,98","3.760,75","","0,98%"
"21.10.2024","3.760,60","3.756,13","3.789,35","3.754,39","","0,14%"
