"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"31.12.2024","19.151,99","19.025,61","19.181,62","18.993,96","","0,67%"
"30.12.2024","19.025,11","19.124,13","19.185,95","18.948,38","","-0,50%"
"27.12.2024","19.120,76","19.216,16","19.260,69","19.059,88","","-0,48%"
"26.12.2024","19.212,61","19.089,44","19.262,75","19.078,28","","0,75%"
"25.12.2024","19.069,83","19.071,87","19.079,85","19.071,87","","0,04%"
"24.12.2024","19.062,25","19.072,87","19.136,63","19.041,40","","0,00%"
"23.12.2024","19.063,03","19.133,27","19.222,66","19.033,97","","-0,31%"
"20.12.2024","19.121,55","18.928,89","19.203,94","18.896,03","","1,04%"
"19.12.2024","18.925,08","18.840,89","19.167,35","18.825,15","","0,48%"
"18.12.2024","18.835,49","19.276,45","19.318,23","18.828,78","","-2,29%"
"17.12.2024","19.276,00","19.326,23","19.374,63","19.183,24","","-0,21%"
"16.12.2024","19.317,31","19.275,55","19.410,90","19.233,63","","0,24%"
"13.12.2024","19.270,59","19.491,30","19.587,68","19.252,23","","-1,08%"
"12.12.2024","19.481,18","19.727,96","19.797,81","19.447,54","","-1,22%"
"11.12.2024","19.721,26","19.530,59","19.761,73","19.387,77","","1,04%"
"10.12.2024","19.518,67","19.316,98","19.547,21","19.291,70","","1,10%"
"09.12.2024","19.306,97","19.163,82","19.438,80","19.105,26","","0,87%"
"06.12.2024","19.141,26","19.108,92","19.215,38","18.975,08","","0,23%"
"05.12.2024","19.098,08","19.252,13","19.290,55","19.047,53","","-0,76%"
"04.12.2024","19.244,65","19.260,52","19.299,38","19.140,35","","-0,07%"
"03.12.2024","19.257,17","19.191,31","19.347,24","19.172,98","","0,40%"
"02.12.2024","19.180,32","19.221,22","19.277,57","18.996,91","","-0,19%"
"29.11.2024","19.217,78","19.134,13","19.303,26","19.082,85","","0,45%"
"28.11.2024","19.131,11","19.103,15","19.220,26","18.984,42","","0,10%"
"27.11.2024","19.112,83","19.096,04","19.263,96","19.051,61","","0,09%"
"26.11.2024","19.095,17","19.000,09","19.151,08","18.861,81","","0,58%"
"25.11.2024","18.985,30","19.672,94","19.718,77","18.937,14","","-3,40%"
"22.11.2024","19.654,07","19.322,06","19.657,07","19.307,91","","1,84%"
"21.11.2024","19.298,70","19.198,22","19.362,76","19.187,18","","0,49%"
"20.11.2024","19.204,75","19.056,11","19.241,91","18.963,41","","0,81%"
"19.11.2024","19.051,01","18.898,84","19.110,27","18.889,07","","0,82%"
"18.11.2024","18.895,47","18.526,32","18.926,73","18.526,32","","2,03%"
"15.11.2024","18.519,85","18.545,59","18.635,35","18.482,01","","-0,05%"
"14.11.2024","18.529,76","18.588,73","18.653,59","18.378,10","","-0,30%"
"13.11.2024","18.585,03","18.793,49","18.887,36","18.588,44","","-1,08%"
"12.11.2024","18.788,74","18.894,91","18.973,01","18.740,02","","-0,50%"
"11.11.2024","18.883,61","19.274,12","19.286,34","18.835,50","","-1,98%"
"08.11.2024","19.265,44","19.326,64","19.400,55","19.180,93","","-0,28%"
"07.11.2024","19.320,29","19.089,65","19.354,99","18.975,84","","1,24%"
"06.11.2024","19.083,89","19.496,25","19.636,16","19.042,63","","-2,10%"
"05.11.2024","19.493,59","19.428,88","19.531,79","19.359,89","","0,38%"
"04.11.2024","19.419,79","19.473,38","19.525,63","19.395,90","","-0,33%"
"01.11.2024","19.484,08","19.526,72","19.651,82","19.466,93","","-0,24%"
"31.10.2024","19.530,03","19.833,81","19.863,10","19.441,70","","-1,52%"
"30.10.2024","19.831,07","19.788,70","19.896,03","19.742,13","","0,25%"
"29.10.2024","19.782,18","19.541,98","19.790,22","19.523,13","","1,25%"
"28.10.2024","19.538,13","19.473,60","19.572,85","19.401,54","","-0,13%"
"25.10.2024","19.563,30","19.480,45","19.567,04","19.354,98","","0,47%"
"24.10.2024","19.471,16","19.350,49","19.526,66","19.346,99","","0,68%"
"23.10.2024","19.339,85","19.580,35","19.662,42","19.302,43","","-1,22%"
"22.10.2024","19.578,14","19.371,96","19.582,46","19.357,30","","1,15%"
"21.10.2024","19.356,02","19.330,27","19.492,59","19.315,85","","0,16%"
"18.10.2024","19.324,45","19.183,29","19.338,51","19.173,56","","0,75%"
"17.10.2024","19.181,25","19.029,28","19.207,65","19.023,53","","0,85%"
"16.10.2024","19.019,65","18.958,04","19.107,63","18.928,82","","0,38%"
"15.10.2024","18.947,59","18.775,02","19.002,48","18.759,48","","0,95%"
"14.10.2024","18.769,99","18.777,94","18.875,23","18.681,70","","0,01%"
"11.10.2024","18.768,76","18.617,23","18.808,74","18.603,07","","0,88%"
"10.10.2024","18.605,74","18.465,70","18.631,29","18.434,91","","0,77%"
"09.10.2024","18.462,66","18.511,06","18.539,07","18.431,17","","-0,24%"
"08.10.2024","18.506,51","18.547,88","18.711,48","18.378,13","","-0,19%"
"07.10.2024","18.541,48","18.607,45","18.668,54","18.512,70","","-0,42%"
"04.10.2024","18.619,38","18.642,57","18.740,47","18.472,65","","-0,08%"
"03.10.2024","18.634,82","18.662,09","18.693,07","18.526,95","","-0,08%"
"02.10.2024","18.650,46","18.693,88","18.698,90","18.537,12","","-0,17%"
"01.10.2024","18.682,48","18.491,96","18.761,81","18.472,52","","1,06%"
"30.09.2024","18.486,88","18.637,47","18.692,22","18.422,02","","-0,79%"
"27.09.2024","18.635,01","18.737,11","18.753,85","18.531,22","","-0,53%"
"26.09.2024","18.733,44","18.685,99","18.834,09","18.612,88","","0,28%"
"25.09.2024","18.682,01","18.686,69","18.747,20","18.608,86","","0,00%"
"24.09.2024","18.681,17","18.535,46","18.736,16","18.449,56","","0,84%"
"23.09.2024","18.524,64","18.487,04","18.593,38","18.443,26","","0,21%"
"20.09.2024","18.486,11","18.282,13","18.515,13","18.249,81","","1,13%"
"19.09.2024","18.278,96","18.124,47","18.324,89","18.080,18","","0,88%"
"18.09.2024","18.118,67","18.227,52","18.414,29","18.037,29","","-0,57%"
"17.09.2024","18.223,41","18.322,56","18.351,47","18.165,87","","-0,46%"
"16.09.2024","18.308,45","18.287,98","18.371,12","18.269,08","","0,14%"
"13.09.2024","18.283,46","18.213,07","18.345,61","18.189,17","","0,41%"
"12.09.2024","18.209,43","17.882,04","18.222,53","17.875,13","","1,84%"
"11.09.2024","17.880,94","17.920,76","17.992,72","17.803,85","","-0,17%"
"10.09.2024","17.911,45","17.828,73","17.935,37","17.800,53","","0,52%"
"09.09.2024","17.818,69","17.703,00","17.836,88","17.668,63","","0,68%"
"06.09.2024","17.697,92","17.851,66","17.913,42","17.616,70","","-0,84%"
"05.09.2024","17.847,49","17.748,49","17.894,71","17.707,32","","0,58%"
"04.09.2024","17.744,40","17.753,06","17.787,62","17.590,03","","0,00%"
"03.09.2024","17.743,82","17.797,27","17.838,54","17.618,81","","-0,25%"
"02.09.2024","17.787,45","17.746,27","17.827,66","17.701,24","","0,23%"
"30.08.2024","17.746,50","17.895,29","17.922,02","17.686,91","","-0,82%"
"29.08.2024","17.893,46","17.832,35","17.948,20","17.776,76","","0,29%"
"28.08.2024","17.842,17","17.987,11","18.019,56","17.778,38","","-0,75%"
"27.08.2024","17.977,30","17.940,19","17.999,08","17.840,87","","0,26%"
"26.08.2024","17.930,33","17.893,81","18.004,64","17.870,04","","0,18%"
"23.08.2024","17.897,48","17.752,03","17.973,15","17.727,55","","0,87%"
"22.08.2024","17.742,36","17.923,97","17.942,47","17.649,95","","-0,96%"
"21.08.2024","17.914,09","17.931,84","17.976,64","17.798,26","","-0,04%"
"20.08.2024","17.921,06","17.870,76","18.069,40","17.834,99","","0,24%"
"19.08.2024","17.878,24","17.972,56","17.987,21","17.751,94","","-0,49%"
"16.08.2024","17.965,45","17.629,35","17.983,23","17.582,96","","1,94%"
"15.08.2024","17.623,68","17.473,38","17.680,95","17.408,24","","0,88%"
"14.08.2024","17.470,03","17.639,11","17.716,71","17.404,97","","-0,94%"
