"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"01.03.2023","1.719,88","1.728,47","1.731,86","1.717,91","","-0,39%"
"28.02.2023","1.726,63","1.712,35","1.729,08","1.701,27","","0,92%"
"27.02.2023","1.710,96","1.718,01","1.719,84","1.710,98","","-0,33%"
"24.02.2023","1.716,56","1.719,36","1.724,65","1.714,50","","-0,08%"
"23.02.2023","1.718,01","1.723,25","1.726,94","1.714,77","","-0,28%"
"22.02.2023","1.722,77","1.723,22","1.734,47","1.719,65","","0,00%"
"21.02.2023","1.722,83","1.723,23","1.729,53","1.714,27","","-0,01%"
"20.02.2023","1.722,95","1.722,98","1.730,06","1.720,11","","0,08%"
"17.02.2023","1.721,51","1.720,15","1.725,27","1.709,23","","0,13%"
"16.02.2023","1.719,29","1.717,31","1.725,99","1.710,61","","0,19%"
"15.02.2023","1.715,99","1.727,35","1.733,31","1.708,71","","-0,58%"
"14.02.2023","1.726,02","1.728,63","1.736,42","1.719,30","","-0,13%"
"13.02.2023","1.728,26","1.746,30","1.748,49","1.726,42","","-0,99%"
"10.02.2023","1.745,61","1.733,77","1.747,96","1.727,92","","0,75%"
"09.02.2023","1.732,60","1.751,01","1.754,75","1.731,86","","-1,02%"
"08.02.2023","1.750,43","1.746,21","1.754,10","1.743,65","","0,28%"
"07.02.2023","1.745,54","1.741,61","1.758,54","1.740,44","","0,30%"
"06.02.2023","1.740,40","1.729,14","1.745,41","1.724,45","","0,73%"
"03.02.2023","1.727,81","1.752,71","1.761,18","1.719,88","","-1,39%"
"02.02.2023","1.752,17","1.774,12","1.782,00","1.751,39","","-1,20%"
"01.02.2023","1.773,45","1.775,10","1.778,72","1.759,48","","-0,08%"
"31.01.2023","1.774,92","1.773,15","1.778,36","1.753,94","","0,15%"
"30.01.2023","1.772,21","1.773,03","1.779,13","1.763,83","","-0,04%"
"27.01.2023","1.772,91","1.771,12","1.780,31","1.766,08","","0,13%"
"26.01.2023","1.770,61","1.782,62","1.785,64","1.768,07","","-0,64%"
"25.01.2023","1.781,95","1.778,88","1.784,81","1.766,70","","0,16%"
"24.01.2023","1.779,11","1.776,04","1.785,09","1.768,18","","0,21%"
"23.01.2023","1.775,37","1.774,36","1.778,56","1.758,76","","0,05%"
"20.01.2023","1.774,48","1.784,28","1.785,30","1.773,95","","-0,51%"
"19.01.2023","1.783,57","1.764,53","1.786,18","1.759,61","","1,12%"
"18.01.2023","1.763,77","1.769,05","1.774,47","1.759,77","","-0,28%"
"17.01.2023","1.768,68","1.772,90","1.773,96","1.757,92","","-0,23%"
"16.01.2023","1.772,68","1.772,61","1.775,67","1.764,97","","0,00%"
"13.01.2023","1.772,72","1.746,17","1.775,32","1.745,93","","1,55%"
"12.01.2023","1.745,59","1.743,57","1.759,36","1.737,37","","0,20%"
