Fecha,PIB_Millones_Euros,Crecimiento_Anual
2004-01-01,9826109,3.8
2005-01-01,10475121,3.5
2006-01-01,11002607,2.8
2007-01-01,10560220,2.0
2008-01-01,10043459,0.1
2009-01-01,10391432,-2.6
2010-01-01,11342317,2.7
2011-01-01,11209034,1.6
2012-01-01,12643055,2.3
2013-01-01,12710031,2.1
2014-01-01,13250719,2.5
2015-01-01,16487552,2.9
2016-01-01,16993434,1.8
2017-01-01,17366860,2.5
2018-01-01,17483453,3.0
2019-01-01,19239026,2.6
2020-01-01,18710664,-2.2
2021-01-01,20009003,6.1
2022-01-01,24677358,2.5
2023-01-01,25629842,2.9
2024-01-01,26971759,2.8
